No,Text,Question1,Answer1,Question2,Answer2,Question3,Answer3,Question4,Answer4,Question5,Answer5,,,
86,"Read the fine print of any deal or flight you find. The cheapest deals also tend to be the most risky for travelers. Sometimes the cheapest deals might offer you less protection for missed, cancelled, or delayed flights, all of which are common during winter weather around the holidays. Make sure you’re willing to live with the risks and stipulations of the deal before booking.",What to do before order flight?,Read the fine print of any deal or flight you find. The cheapest deals also tend to be the most risky for travelers. ,Why cheapest deals might be the most risky?,"Sometimes the cheapest deals might offer you less protection for missed, cancelled, or delayed flights, all of which are common during winter weather around the holidays. ",What to do before order the cheapest flight?,Make sure you’re willing to live with the risks and stipulations of the deal before booking.,,,,,,,
87,"Check the power source to the garbage disposal. If it is plugged into an outlet below your sink, make sure it hasn't fallen out or come loose. If you don't see an outlet, find the switch for the garbage disposal on your breaker box and flip it off and on again. Once the power is reconnected turn the garbage disposal on to see if the water drains. If it does, then you have solved the problem.",What to if there is an outlet?,"If it is plugged into an outlet below your sink, make sure it hasn't fallen out or come loose.",What if there is no outlet?,"If you don't see an outlet, find the switch for the garbage disposal on your breaker box and flip it off and on again.",What to do after the power is reconnected?,"Once the power is reconnected turn the garbage disposal on to see if the water drains. If it does, then you have solved the problem.",,,,,,,
88,"Spread 2 inches (5.1 cm) of mulch over your garden. Mulch reduces the amount of light that can reach weeds, making it an effective solution for controlling their growth. Choose an organic mulch, like wood chips or bark, and layer it at least 2 inches (5.1 cm) deep. Alternatively, use a synthetic mulch like landscape fabric. Don’t remove the fabric until the colder months.",How to control the weeds?,"Spread 2 inches (5.1 cm) of mulch over your garden. Mulch reduces the amount of light that can reach weeds, making it an effective solution for controlling their growth. ",What covers can I choose?,"Choose an organic mulch, like wood chips or bark, and layer it at least 2 inches (5.1 cm) deep. ",What other covers can I choose?,"Alternatively, use a synthetic mulch like landscape fabric. Don’t remove the fabric until the colder months.",,,,,,,
89,"Add 4 cups (950 mL) of vinegar to a pot. Use distilled white vinegar and pour it into a pot. Make sure the pot has enough room to hold the vinegar without any spilling out. You can also use apple cider vinegar if you don’t have white vinegar. Vinegar is great for softening paint that has dried on a paint brush. Use vinegar to loosen oil-based, latex, and water-based paints.",How mcuh vinegar can I use?,Add 4 cups (950 mL) of vinegar to a pot. Use distilled white vinegar and pour it into a pot. Make sure the pot has enough room to hold the vinegar without any spilling out. ,What if I don't have white vinegar?,You can also use apple cider vinegar if you don’t have white vinegar. ,Why use vinegar?,"Vinegar is great for softening paint that has dried on a paint brush. Use vinegar to loosen oil-based, latex, and water-based paints.",,,,,,,
90,"Pull the blinds down so they are fully extended. Depending on how long your blinds are, you may need to extend them past the point you normally do to make sure you can access the entire swath of material. You may be tempted to just clean the section of your blinds that is regularly exposed to the room, but if you do that, you risk discoloring the blinds over time.",How long of blinds do I need?,"Pull the blinds down so they are fully extended. Depending on how long your blinds are, you may need to extend them past the point you normally do to make sure you can access the entire swath of material. ",How to clean the blinds?,"You may be tempted to just clean the section of your blinds that is regularly exposed to the room, but if you do that, you risk discoloring the blinds over time.",,,,,,,,,
91,"Heat the pot over medium heat until the water starts to simmer. Turn the stove on and wait for the water to heat up. When it begins simmering, it will reach about 185 °F (85 °C). It will also start to steam and release bubbles every second. If you don’t wish to juice the lemons in advance, take advantage of the time spent waiting for the water to heat up. Just be sure to keep an eye on the pot so it doesn’t boil over!",How to heat the water?,"Heat the pot over medium heat until the water starts to simmer. Turn the stove on and wait for the water to heat up. When it begins simmering, it will reach about 185 °F (85 °C).",When will the water steam?,It will also start to steam and release bubbles every second. ,What to do while waiting?,"If you don’t wish to juice the lemons in advance, take advantage of the time spent waiting for the water to heat up. ",,,,,,,
92,"Transfer the dip to a bowl and serve. When you’re happy with the consistency of the dip, spoon it into a bowl. Serve it with crudites, chips, or crackers. If you like, you can garnish the top of the dip with chopped roasted red peppers. The dip is also delicious as a sandwich or wrap spread.",When to stop cooking the dip?,"When you’re happy with the consistency of the dip, spoon it into a bowl. ",What can I serve with?,"Serve it with crudites, chips, or crackers.",What topping can I add?,"If you like, you can garnish the top of the dip with chopped roasted red peppers.",,,,,,,
93,"Find dry, medium-sized items to serve as kindling. Kindling is material that burns easily when it comes in contact with lit tinder, but is difficult to light its own. Look for small sticks, twigs, and large pieces of bark. Make sure that the items are completely dry. Cut large pieces of wood with an axe or knife to create kindling.",What is kindling?,"Find dry, medium-sized items to serve as kindling. Kindling is material that burns easily when it comes in contact with lit tinder, but is difficult to light its own. ",What is good kindling?,"Look for small sticks, twigs, and large pieces of bark. Make sure that the items are completely dry. ",How to create kindling?,Cut large pieces of wood with an axe or knife to create kindling.,,,,,,,
94,"Cut the meat out of the legs. Pull or cut the legs off the body. Use scissors to cut open the side of the shell. Pry open the shell and remove the meat from inside. When you have finished removing the meat from all these parts, throw out what remains, including all the shells, the head, and the torso.",How to remove the meat?,Pull or cut the legs off the body. Use scissors to cut open the side of the shell. Pry open the shell and remove the meat from inside.,What to do after removing the meat?,"When you have finished removing the meat from all these parts, throw out what remains, including all the shells, the head, and the torso.",,,,,,,,,
95,"Paint the window trim. The window trim is the roughly ½-inch (1.3-cm) deep “lip,” perpendicular to the glass window pane, that surrounds the wooden window frame. This wood should be painted last, after the front-facing surfaces of the window frame and the sash and trim have been painted. Paint the trim from top to bottom. This will allow the paint to drip downwards while you paint higher sections of the trim. You’ll be able to easily paint over and smooth out the places lower down on the trim where paint has dripped.",What is window trim?,"The window trim is the roughly ½-inch (1.3-cm) deep “lip,” perpendicular to the glass window pane, that surrounds the wooden window frame. ",What is the order to paint?,"This wood should be painted last, after the front-facing surfaces of the window frame and the sash and trim have been painted.",How to deal with the dripped paint?,Paint the trim from top to bottom. This will allow the paint to drip downwards while you paint higher sections of the trim. You’ll be able to easily paint over and smooth out the places lower down on the trim where paint has dripped.,,,,,,,
96,"Squirt them with cold water. Fill up a spray bottle and leave it in the refrigerator until the next time you spot a gecko in your living space. Geckos and other lizards are cold-blooded animals, which means they seek out warm surroundings. A few quick spritzes will usually be enough to send them scurrying. If you’re swarmed with geckos while gardening or working in your yard, a blast from the water hose will have the same effect. It’s important that the water be room temperature or colder—any warmer and it might not be unpleasant enough to be an effective repellent.",How to remove geckos?,Fill up a spray bottle and leave it in the refrigerator until the next time you spot a gecko in your living space. ,Why cold spray will work?,"Geckos and other lizards are cold-blooded animals, which means they seek out warm surroundings. A few quick spritzes will usually be enough to send them scurrying.",What if I find many geckos in the yard?,"If you’re swarmed with geckos while gardening or working in your yard, a blast from the water hose will have the same effect. ",,,,,,,
97,"Put tangelos in salsa. Tangelo gives salsa a sweet and citrus zest. You can make a salsa by mixing sautéed garlic, grated tangelo zest, and chopped red chili together. Then, add in the whole tangelo segment, cherry tomatoes, and basil leaves for a fresh and ready salsa.",What ingredients do I need?,"Tangelo gives salsa a sweet and citrus zest. You can make a salsa by mixing sautéed garlic, grated tangelo zest, and chopped red chili together. ",What else ingredients do I need?,"Then, add in the whole tangelo segment, cherry tomatoes, and basil leaves for a fresh and ready salsa.",How to add tangelo to salsa?,"Then, add in the whole tangelo segment, cherry tomatoes, and basil leaves for a fresh and ready salsa.",,,,,,,
98,"Look at the natural shape of your holly. There are different kinds of evergreen hollies, and you should look at their natural shape in order to determine specifically how to prune them. There are pyramidal, rounded, and indeterminate holly plants. For rounded hollies, you should thin during the first few years and do formal shaping throughout its life. Pyramidal hollies require similar thinning regimens but little if any formal shaping throughout life. Indeterminate hollies need both throughout life.",How to trim evergreen hollies?,"There are different kinds of evergreen hollies, and you should look at their natural shape in order to determine specifically how to prune them. ",What kinds of evergreen hollies there are?,"There are pyramidal, rounded, and indeterminate holly plants.",How to trim different kinds of evergreen hollies?,"For rounded hollies, you should thin during the first few years and do formal shaping throughout its life. Pyramidal hollies require similar thinning regimens but little if any formal shaping throughout life. Indeterminate hollies need both throughout life.",,,,,,,
99,"Sift the corn flour, flour, baking powder, salt, ground coriander and cumin into a bowl. To do this, place the ingredients in a sieve over a bowl and then gently run a spoon along the bottom of the sieve to gently move the ingredients into the bowl. This recipe makes 4 servings or around 24 fritters.",What ingredients do I need?,"Sift the corn flour, flour, baking powder, salt, ground coriander and cumin into a bowl.",How to mix the ingredients?,"To do this, place the ingredients in a sieve over a bowl and then gently run a spoon along the bottom of the sieve to gently move the ingredients into the bowl. ",How many fritters can this recipe make?,This recipe makes 4 servings or around 24 fritters.,,,,,,,
100,"Take regular breaks. It's important to stop and refresh for 5 to 10 minutes here and there, to have a snack or a drink. If you don't do this, you'll wear out quickly and feel less inclined to keep power gardening.",How long should I break?,"It's important to stop and refresh for 5 to 10 minutes here and there, to have a snack or a drink. ",Why should I take a break?,"If you don't do this, you'll wear out quickly and feel less inclined to keep power gardening.",,,,,,,,,
101,"Ask someone else to spot you if you need to use a ladder. Some varieties of magnolias can grow very tall, so you may need a ladder to reach the branches. If this is the case, make sure that there is someone else watching you, in case you fall or injure yourself. This person should not stand where a branch can fall on them. Be sure to use safe ladder practices. Do not exceed the weight rating on your ladder, and make sure that it is properly secured and grounded before climbing it.",Can I trim magnolias by myself?,"Some varieties of magnolias can grow very tall, so you may need a ladder to reach the branches. If this is the case, make sure that there is someone else watching you, in case you fall or injure yourself.",Where should the person stand?,This person should not stand where a branch can fall on them. Be sure to use safe ladder practices. ,How to use the ladder?,"Be sure to use safe ladder practices. Do not exceed the weight rating on your ladder, and make sure that it is properly secured and grounded before climbing it.",,,,,,,
102,Calculate the last frost date for your area. The Old Farmer’s Almanac can help you calculate the last frost date for where you live to determine what week you should plant your seeds. Pepper seeds should be planted 8-10 weeks before the last frost date. You will transfer your seeds outside just after the last frost date.,How to calculate the last frost data?,Calculate the last frost date for your area. The Old Farmer’s Almanac can help you calculate the last frost date for where you live to determine what week you should plant your seeds. ,Why should I calculate the last frost data?,Calculate the last frost date for your area. The Old Farmer’s Almanac can help you calculate the last frost date for where you live to determine what week you should plant your seeds. ,When should I plant the pepper?,Pepper seeds should be planted 8-10 weeks before the last frost date. You will transfer your seeds outside just after the last frost date.,,,,,,,
103,"Project confidence. This is key to getting into the party, you have to act as if you belong there. If you have nerves about getting in, do your best to hide them. Appearing hesitant can mark you out as a crasher. Walk in with confident body language and a smile.",What is the key to getting into the party?,"Project confidence. This is key to getting into the party, you have to act as if you belong there.",What if I am nervous?,"If you have nerves about getting in, do your best to hide them.",How to look like confident?,Appearing hesitant can mark you out as a crasher. Walk in with confident body language and a smile.,,,,,,,
104,"Place the chicken into a dish or baking pan. As the chicken defrosts, some of the melted water and dissolved meat protein might leak out from the meat. Be sure to use a dish or baking pan with high sides to catch any leakage from the thawing chicken. Make sure to thoroughly clean the dish or pan before and after you use it. For small pieces you can use a bowl instead.",What is the thing leak from defrozed chicken?,"As the chicken defrosts, some of the melted water and dissolved meat protein might leak out from the meat. Be sure to use a dish or baking pan with high sides to catch any leakage from the thawing chicken.",How to deal with leaking when defrozing?,"As the chicken defrosts, some of the melted water and dissolved meat protein might leak out from the meat. Be sure to use a dish or baking pan with high sides to catch any leakage from the thawing chicken.",How to deal with the dish used for defrozen chicken?,Make sure to thoroughly clean the dish or pan before and after you use it. For small pieces you can use a bowl instead.,,,,,,,
105,"Dig bulbs out of the ground. You can pull wild onions out of the ground, but merely yanking on the green stalks will leave the bulbs in the ground. This means that before too long, the weeds will return. To really eliminate the weed, you will have to take a small trowel and dig the whole plant out of the ground, bulb and all.",How to remove the wild onions?,"You can pull wild onions out of the ground, but merely yanking on the green stalks will leave the bulbs in the ground. ",Can wild onion be permanently removed?,"This means that before too long, the weeds will return. To really eliminate the weed, you will have to take a small trowel and dig the whole plant out of the ground, bulb and all.",How to permanently remove the wild onion?,[No Answer],,,,,,,
106,"Create a sticky trap with paint and Vaseline. Take a plastic card or a piece of cardboard and paint it with waterproof yellow paint. Once the paint dries, apply 1 to 2 tablespoons (15 to 30 ml) of Vaseline or non-petroleum Jelly to both sides of the cardboard. Place the cardboard just above the canopy of the herbs to attract and kill whiteflies and gnats. You may need to reapply the Vaseline to the cardboard regularly to ensure the trap works.",What materials do I need for sticky trap?,Create a sticky trap with paint and Vaseline. Take a plastic card or a piece of cardboard and paint it with waterproof yellow paint. ,How much materials do I need?,"Once the paint dries, apply 1 to 2 tablespoons (15 to 30 ml) of Vaseline or non-petroleum Jelly to both sides of the cardboard. ",Where should I place the sticky card?,Place the cardboard just above the canopy of the herbs to attract and kill whiteflies and gnats.,,,,,,,
107,"Use a toggle bolt, molly bolt, or threaded anchor for heavier mirrors. These specialty types of hardware can bear a lot more weight than a standard picture hanger. There are a lot of different models and brands, so take care in choosing one that is appropriate for your mirror and wall. If you’re working with a very heavy mirror, you must screw it directly into a wall stud.",What kind of bolt should I use?,"Use a toggle bolt, molly bolt, or threaded anchor for heavier mirrors. These specialty types of hardware can bear a lot more weight than a standard picture hanger. ",How to choose bolt?,"There are a lot of different models and brands, so take care in choosing one that is appropriate for your mirror and wall.",What if I'm working with very heavy mirror?,"If you’re working with a very heavy mirror, you must screw it directly into a wall stud.",,,,,,,
108,"Cut and peel a butternut squash. Cut the butternut squash in half in the middle. Cut of the stem and throw it away. Slice each section in half lengthwise and use a spoon to scoop out the seeds. Use a vegetable peeler or paring knife to peel each section of the butternut squash. If you're roasting a butternut squash, you won't need to peel it.",How to deal with the squash?,Cut the butternut squash in half in the middle. Cut of the stem and throw it away. Slice each section in half lengthwise and use a spoon to scoop out the seeds. ,How to peel the squash?,Use a vegetable peeler or paring knife to peel each section of the butternut squash. ,Do I need to peel if I'm baking the squash?,"If you're roasting a butternut squash, you won't need to peel it.",,,,,,,
109,"Crush the fruit. Using a clean potato masher or your hands, crush and squeeze the fruit to release its juices. Keep doing so until the level of the fruit juice is within 1 ?2 inches (3.8 cm) of the top of the crock. If you don't have enough fruit and juice to fill the crock almost to the top, top it off with filtered water. Add a Campden tablet, which releases sulphur dioxide into the mixture, killing wild yeast and bacteria. If you're making wild yeast wine, don't take steps to kill the yeast. As an alternative to using a tablet, you can pour 2 cups of boiling water over the fruit. Using tap water can affect the taste of your wine, since it contains additives. Be sure to use filtered or spring water.",How much fruit do I need?,"Using a clean potato masher or your hands, crush and squeeze the fruit to release its juices. Keep doing so until the level of the fruit juice is within 1 ?2 inches (3.8 cm) of the top of the crock.",What if I don't have enough fruit?,"If you don't have enough fruit and juice to fill the crock almost to the top, top it off with filtered water. ",How to kill bacteria?,"Add a Campden tablet, which releases sulphur dioxide into the mixture, killing wild yeast and bacteria.",,,,,,,
110,"Purchase green coffee beans. Look for high-quality beans that are wet-processed. This means they weren't dried with the fruit left on which can lead to mold growth. If you can, buy beans that were machine-hulled which removes the husks. You can purchase green coffee beans online or ask your local coffee roaster to put aside some unroasted beans for you to purchase.",Which kind of beans should I find?,Look for high-quality beans that are wet-processed. This means they weren't dried with the fruit left on which can lead to mold growth.,Which kind of beans should I buy?,"If you can, buy beans that were machine-hulled which removes the husks. ",Where can I find unroasted beans?,You can purchase green coffee beans online or ask your local coffee roaster to put aside some unroasted beans for you to purchase.,,,,,,,
111,"Search for the company that sent the offer. If you received an offer for a discounted or free cruise, doing a quick online search may bring up surprising results. If you see any information on the company being a potential scam, stay away from the offer and delete the email. Make sure to copy and paste the name of the company directly into your search engine because often the names are similar to legitimate cruise companies. Beware of websites that are a letter or two off from a legitimate cruise's website. Read online reviews for customer satisfaction on third party websites like Yelp.",How to deal with cruise discount email?,"If you received an offer for a discounted or free cruise, doing a quick online search may bring up surprising results.",How to check if the company is scam?,"If you see any information on the company being a potential scam, stay away from the offer and delete the email. Make sure to copy and paste the name of the company directly into your search engine because often the names are similar to legitimate cruise companies.",How to find a credit company?,Beware of websites that are a letter or two off from a legitimate cruise's website. Read online reviews for customer satisfaction on third party websites like Yelp.,,,,,,,
112,"Gather your tools. To make gardening as easy and relaxing as possible, it is important that you have all the right tools. Use a shovel, gloves, gardening trowel, a garden fork, baskets or buckets to hold weeds, and a watering can at least. You can purchase other tools, but it is not necessary for a small to medium sized garden. For a large garden you may also need to purchase a wheelbarrow, rakes and hoes, loppers, and a post-hole digger. Look into installing an automatic sprinkler system if you don’t have time or the ability to hand-water your garden.",What tools do I need for gradening?,"To make gardening as easy and relaxing as possible, it is important that you have all the right tools. Use a shovel, gloves, gardening trowel, a garden fork, baskets or buckets to hold weeds, and a watering can at least. ",What if I have a smaller graden?,"You can purchase other tools, but it is not necessary for a small to medium sized garden. ",What should I prepare for a large garden?," For a large garden you may also need to purchase a wheelbarrow, rakes and hoes, loppers, and a post-hole digger. Look into installing an automatic sprinkler system if you don’t have time or the ability to hand-water your garden.",,,,,,,
113,"Mix well. Sift the ingredients above together in the bowl. Once they are well incorporated, you will be left with a substance you can use in place of bread flour. The gluten in the new flour substitute will give the final product a denser, ""stronger"" bread than you would have otherwise. Don't be alarmed if your bread turns out with a slightly different texture than it had before.",How to use the new flour?,"Sift the ingredients above together in the bowl. Once they are well incorporated, you will be left with a substance you can use in place of bread flour. ",What does gluten do?,"The gluten in the new flour substitute will give the final product a denser, ""stronger"" bread than you would have otherwise.",What if the texture of the dough is completely different?,Don't be alarmed if your bread turns out with a slightly different texture than it had before.,,,,,,,
114,"Install anchors in each hole if your lights came with them. Some light sets come with anchors for more wall support. These are usually metal tubes with grooves on the inside to hold the screw. If your lights came with these, push one into each hole. Anchors usually come with light sets that have an attached backboard.",What are anchors for?,Install anchors in each hole if your lights came with them. Some light sets come with anchors for more wall support.,What are anchors?,These are usually metal tubes with grooves on the inside to hold the screw.,How to install anchors?,"If your lights came with these, push one into each hole. Anchors usually come with light sets that have an attached backboard.",,,,,,,
115,"Use lemon juice. Do the same cleaning process as you did with vinegar, this time with lemon juice. If you are cleaning a small surface, you can also simply rub sliced lemon over the oxidized surface and wipe away. Dip the lemon slice in some salt to add abrasiveness if you are cleaning a particularly tough patch of oxidation. You can find small containers of lemon juice at most grocery stores, which is an easier alternative than individually juicing lemons.",How to use lemon juice to clean?,"Do the same cleaning process as you did with vinegar, this time with lemon juice. If you are cleaning a small surface, you can also simply rub sliced lemon over the oxidized surface and wipe away. ",What if I want to clean something really firm?,Dip the lemon slice in some salt to add abrasiveness if you are cleaning a particularly tough patch of oxidation. ,Where can I but lemon juice?,"You can find small containers of lemon juice at most grocery stores, which is an easier alternative than individually juicing lemons.",,,,,,,
116,"Use a big spoon to scoop out the seeds. With a smooth scooping motion, collect the seeds and everything else from the center of the melon. Removing the seeds at this point will make it less messy to cut the melon into wedges. Make sure you don't immediately toss these out. You can instead place them in a bag to compost later.",How to scoop the seeds?,"With a smooth scooping motion, collect the seeds and everything else from the center of the melon.",How to deal with the seeds?,Removing the seeds at this point will make it less messy to cut the melon into wedges. Make sure you don't immediately toss these out. You can instead place them in a bag to compost later.,Can I throw the seeds?,Removing the seeds at this point will make it less messy to cut the melon into wedges. Make sure you don't immediately toss these out. You can instead place them in a bag to compost later.,,,,,,,
117,"Arrange two light sources in a straight line. Place two light bulbs, LEDs, or other light sources on a flat surface in a straight line. The distance between them should be significantly larger than the width of the box you made.",How to place the bulbs?,"Place two light bulbs, LEDs, or other light sources on a flat surface in a straight line. ",In what distance should two bulbs keep?,The distance between them should be significantly larger than the width of the box you made.,,,,,,,,,
118,"Get to know your neighbors. Even if it's their first names, it'll give you a sense of security of knowing those living around you. Offer a hand to your elderly neighbors, such as carrying groceries from their car. Living in a very small complex may allow tenants to interact with each other in a more secured way than people whom reside in a building with many tenants. Treat their packages left outside like your own and leave it by their doorstep instead of ignoring it as you pass by.",How to get along with my neighbors?,"Even if it's their first names, it'll give you a sense of security of knowing those living around you.",How can I help my neighbors?,"Offer a hand to your elderly neighbors, such as carrying groceries from their car. ",How about living in a very small community?,Living in a very small complex may allow tenants to interact with each other in a more secured way than people whom reside in a building with many tenants.,,,,,,,
119,"Place a thin layer of rhizomes in non-direct sunlight. Once you have sliced the rhizomes, it’s time for them to sunbathe. Spread the rhizomes in a 5–7 centimetres (2.0–2.8 in) layer on either a bamboo mat or a drying floor. Be sure to avoid direct sunlight since it will drain your turmeric of its prized yellow color.",What to do after clicing the rhizomes?,"Place a thin layer of rhizomes in non-direct sunlight. Once you have sliced the rhizomes, it’s time for them to sunbathe. ",How long should I slice the rhizomes?,Spread the rhizomes in a 5–7 centimetres (2.0–2.8 in) layer on either a bamboo mat or a drying floor. ,What to notice when placing rhizomes under sunlight?,Be sure to avoid direct sunlight since it will drain your turmeric of its prized yellow color.,,,,,,,
120,"Lay down the second plank at a 45-degree angle to the front wall. Gently place it to the ground and snap the short edges of your flooring together for the first row. Each piece should lock into the other easily. Afterwards, use a rubber mallet to gently hammer the end joints into place. Always ensure that both planks are properly aligned and at the same height. If the planks aren't locking together properly, disassemble them and check for debris inside the locking region.",How to place the planks?,Lay down the second plank at a 45-degree angle to the front wall. Gently place it to the ground and snap the short edges of your flooring together for the first row. Each piece should lock into the other easily. ,How to make sure each piece is locked into others?,"Afterwards, use a rubber mallet to gently hammer the end joints into place. Always ensure that both planks are properly aligned and at the same height. ",What should I do if two pieces are not locked properly?," If the planks aren't locking together properly, disassemble them and check for debris inside the locking region.",,,,,,,
121,"Choose a qualifying charity. Not all charitable contributions are tax deductible—the donation has to go to a qualifying charity or nonprofit. Usually, 501(c)3 charities and religious organizations will qualify. In order to double check, go to https://www.irs.gov/charities-non-profits/exempt-organizations-select-check to look at the IRS’ listing of exempt organizations. Remember though, churches are usually not listed in the directory. The only time a charitable organization won't be listed is if it a religious organization or a subsidiary of a larger charitable organization. In that case, if the larger organization is listed, you can be sure the subsidiary is as well.",Which charity can I donate?,"Not all charitable contributions are tax deductible—the donation has to go to a qualifying charity or nonprofit. Usually, 501(c)3 charities and religious organizations will qualify. In order to double check, go to https://www.irs.gov/charities-non-profits/exempt-organizations-select-check to look at the IRS’ listing of exempt organizations. ",Which website can I find more information on?,go to https://www.irs.gov/charities-non-profits/exempt-organizations-select-check to look at the IRS’ listing of exempt organizations,Is there any example?,"Remember though, churches are usually not listed in the directory. The only time a charitable organization won't be listed is if it a religious organization or a subsidiary of a larger charitable organization. In that case, if the larger organization is listed, you can be sure the subsidiary is as well.",,,,,,,
122,"Wash, pit, and quarter the peaches. To begin preparing the peaches for the sauce, you’ll need to wash off any dirt from the fuzzy skin of the peach. (Be sure to leave the skin on however, as it contains both nutrients and flavor.) Then slice the peaches in half, and use your fingers to pry out the peach pit. Finally, cut the peaches in half again, so that you are left with peach quarters. Although this recipe only calls for four peaches, it can easily be doubled or tripled. As long as you’re washing and cutting peaches, consider preparing eight or twelve instead of only four.",How to prepare the peaches?,"Wash, pit, and quarter the peaches. To begin preparing the peaches for the sauce, you’ll need to wash off any dirt from the fuzzy skin of the peach. (Be sure to leave the skin on however, as it contains both nutrients and flavor.) ",How to deal with the peaches?,"Then slice the peaches in half, and use your fingers to pry out the peach pit. Finally, cut the peaches in half again, so that you are left with peach quarters. ",Can I add more peaches?,"Although this recipe only calls for four peaches, it can easily be doubled or tripled. As long as you’re washing and cutting peaches, consider preparing eight or twelve instead of only four.",,,,,,,
123,"Repair damaged drywall before painting. If you have a drywall ceiling that's in need of repair, it must be touched up before you paint over the ceiling. If you want to handle the task on your own, pick up supplies at a home-improvement store and repair drywall yourself. Or, if you’re not comfortable handling the patch-up on your own, hire a drywall contractor to repair the damaged drywall. Ask the drywall contractor to do a skim coat to smooth out the ceiling once it’s repaired. Applying a skim coat to the drywall before you paint will make the ceiling glisten after the coat of paint has been applied.",How to repair damaged drywall?,"Repair damaged drywall before painting. If you have a drywall ceiling that's in need of repair, it must be touched up before you paint over the ceiling.",Where can I find help?,"If you want to handle the task on your own, pick up supplies at a home-improvement store and repair drywall yourself. Or, if you’re not comfortable handling the patch-up on your own, hire a drywall contractor to repair the damaged drywall. ",How to smooth the ceiling?,Ask the drywall contractor to do a skim coat to smooth out the ceiling once it’s repaired. Applying a skim coat to the drywall before you paint will make the ceiling glisten after the coat of paint has been applied.,,,,,,,
124,"Loosen the cranks with a crank extractor for non-extracting cranks. Purchase a crank extractor tool from a bike store or online. Insert the crank extractor into the crank-bolt hole and turn it clockwise to screw it in until it's tight. Then, turn the handle of the extractor counterclockwise until the crank pops off. Go over to the other side of the bike and remove the other side of the crank in the same way. Crank extractors are needed on non-self-extracting cranks. These types of cranks have a crank bolt on each side of the bike and do not have a retaining ring around the crank bolt.",Where can I buy the tools?,Purchase a crank extractor tool from a bike store or online.,How to do the operation?,"Insert the crank extractor into the crank-bolt hole and turn it clockwise to screw it in until it's tight. Then, turn the handle of the extractor counterclockwise until the crank pops off.",How to remove the cranks?,Go over to the other side of the bike and remove the other side of the crank in the same way. ,,,,,,,
125,"Avoid pointing or yelling. The police have specific guidelines on how to proceed during a public shooting. Let them do their jobs and don't confuse or aggravate the situation by intervening, particularly since your emotions are likely heightened. Let them do their jobs effectively and take down the shooter.",What to do while shooting happens?,"Avoid pointing or yelling. The police have specific guidelines on how to proceed during a public shooting. Let them do their jobs and don't confuse or aggravate the situation by intervening, particularly since your emotions are likely heightened.",What will polices do?,Let them do their jobs effectively and take down the shooter.,,,,,,,,,
126,"Add adhesive if your window track is dry or rough. If your window track uses glue to hold the glass in place, touch it to make sure it is still sticky. If the window track is dry, rough, or cracked, squeeze a layer of Automotive Goop or similar automotive adhesive into it.",How to use the glue?,"Add adhesive if your window track is dry or rough. If your window track uses glue to hold the glass in place, touch it to make sure it is still sticky.",How to deal with the crackers?,"If the window track is dry, rough, or cracked, squeeze a layer of Automotive Goop or similar automotive adhesive into it.",,,,,,,,,
127,"Add seaweed and cut egg. Place a bed of sliced nori seaweed onto the rice, followed by a similar bed of the sliced cooked egg. Spread these both evenly as they will serve as the foundation for more yummy things to come.",What should I add?,"Add seaweed and cut egg. Place a bed of sliced nori seaweed onto the rice, followed by a similar bed of the sliced cooked egg.",How to deal with the ingredients?,Spread these both evenly as they will serve as the foundation for more yummy things to come.,How many ingredients do I need?,[No Answer],,,,,,,
128,"When you have the toilet lined up,  slide each 2x4 out from under the toilet and its should sit down flush with the floor. If it does not, double check to see if your flange connection is aligned. If it is still crooked but you are sure you have a good connection you will need to use a shim under the lip of the toilet base to level the toilet after you have put some tension on the johnny-bolts.",How to line up the toilet?,"When you have the toilet lined up,  slide each 2x4 out from under the toilet and its should sit down flush with the floor. ",What if they are not lined up?,"If it does not, double check to see if your flange connection is aligned.",How to line up the toilet?,If it is still crooked but you are sure you have a good connection you will need to use a shim under the lip of the toilet base to level the toilet after you have put some tension on the johnny-bolts.,,,,,,,
129,"Earn flyer miles by shopping at online malls. Some airlines partner with certain popular department sores, home improvement stores, and other major online retailers where customers can earn extra miles when they make purchases. These malls can be found by checking on the airline's website. Here are several stores that have offered miles for purchases in the past: Crate and Barrel Best Buy The Container Store Sears Target Walmart",How can I get miles?,"Earn flyer miles by shopping at online malls. Some airlines partner with certain popular department sores, home improvement stores, and other major online retailers where customers can earn extra miles when they make purchases. ",Where can I found the stores?,These malls can be found by checking on the airline's website.,For example?,Here are several stores that have offered miles for purchases in the past: Crate and Barrel Best Buy The Container Store Sears Target Walmart,,,,,,,
130,"Fill the bottom of the bowl with cooked rice. Use any type of rice you prefer, whether it's long-grain, brown, white, or a mix. Traditionally, sticky white rice serves as the base for bibimbap. Short-grain, sticky rice is ideal because it clumps together, giving you that nice crust on the bottom of your bowl. Make rice on the stove or in a rice maker. You can also use leftover rice.",What rice can I use?,"Fill the bottom of the bowl with cooked rice. Use any type of rice you prefer, whether it's long-grain, brown, white, or a mix. ",What is the best choice?,"Traditionally, sticky white rice serves as the base for bibimbap. Short-grain, sticky rice is ideal because it clumps together, giving you that nice crust on the bottom of your bowl. ",Where should I cook?,Make rice on the stove or in a rice maker. You can also use leftover rice.,,,,,,,
